Id,Label,timeset
10470,"LITTLE, ABNER",
10471,PRINCESS ZANDA,
10472,BLACK PANTHER/T'CHAL,
10473,"STEELE, SIMON/WOLFGA",
10474,"FORTUNE, DOMINIC",
10475,"ERWIN, CLYTEMNESTRA",
10476,IRON MAN/TONY STARK,
10477,IRON MAN IV/JAMES R.,
10478,"RAVEN, SABBATH II/EL",
10479,",""FORTUNE, DOMINIC",
10480,",""ERWIN, CLYTEMNESTRA",
10481,CARNIVORE/COUNT ANDR,
10482,GHOST,
10483,"ZIMMER, ABE",
10484,FU MANCHU,
10485,"TARR, BLACK JACK",
10486,"SMITH, SIR DENIS NAY",
10487,SHANG-CHI,
10488,STARSHINE II/BRANDY,
10489,",""ROM, SPACEKNIGHT",
10490,MAN-THING/THEODORE T,
10491,"WU, LEIKO",
10492,DOCTOR DREDD,
10493,"ROM, SPACEKNIGHT",
10494,"RESTON, CLIVE",
10495,"JACKSON, STEVE",
10496,",""DOCTOR DREDD",
10497,",""TARR, BLACK JACK",
10498,",""SHANG-CHI",
10499,MYSTIQUE/RAVEN DARKH,
10500,BLOB/FRED J. DUKES,
10501,TORPEDO III/BROCK JO,
10502,PYRO/ALLERDYCE JOHNN,
10503,AVALANCHE/DOMINIC PE,
10504,ROGUE /,
10505,DESTINY II/IRENE ADL,
10506,HYBRID/JAMES JIMMY M,
10507,"CLARK, SARAH",
10508,"KILLBURN, MACK",
10509,"JONES, TAMMY ANNE",
10510,"JONES, LORRAINE LORR",
10511,"JONES, NELL",
10512,"JONES, DANIEL DANNY",
10513,"CLARK, JOHN",
10514,",""TORPEDO III/BROCK JO",
10515,",""KILLBURN, MACK",
10516,",""JONES, LORRAINE LORR",
10517,",""JONES, DANIEL DANNY",
10518,",""JONES, TAMMY ANNE",
10519,",""JONES, NELL",
10520,",""JACKSON, STEVE",
10521,SUB-MARINER/NAMOR MA,
10522,VASHTI,
10523,SEAWEED MAN,
10524,",""CLARK, JOHN",
10525,NOVA/RICHARD RIDER,
10526,FIRESTAR/ANGELICA JO,
10527,THUNDERBALL/DR. ELIO,
10528,NAMORITA/NITA PRENTI,
10529,SPEEDBALL/ROBBIE BAL,
10530,HULK/DR. ROBERT BRUC,
10531,NIGHT THRASHER/DUANE,
10532,SPIDER-MAN/PETER PAR,
10533,JUSTICE II/VANCE AST,
10534,TIGRA/GREER NELSON,
10535,WASP/JANET VAN DYNE,
10536,GALACTUS/GALAN,
10537,MOCKINGBIRD/DR. BARB,
10538,SILVER SURFER/NORRIN,
10539,HAWK,
10540,LORD CHAOS,
10541,SCARLET WITCH/WANDA,
10542,QUICKSILVER/PIETRO M,
10543,",""WASP/JANET VAN DYNE",
10544,",""GALACTUS/GALAN",
10545,",""MOCKINGBIRD/DR. BARB",
10546,",""SILVER SURFER/NORRIN",
10547,",""HAWK",
10548,",""LORD CHAOS",
10549,",""SCARLET WITCH/WANDA",
10550,UATU,
10551,CAPTAIN AMERICA,
10552,THUNDERSTRIKE/ERIC K,
10553,WONDER MAN/SIMON WIL,
10554,DEATHLOK III/MICHAEL,
10555,OBLIVION,
10556,WOLVERINE/LOGAN,
10557,SHE-HULK/JENNIFER WA,
10558,VISION,
10559,PSYLOCKE/ELISABETH B,
10560,MARVEL GIRL/JEAN GRE,
10561,STORM/ORORO MUNROE S,
10562,ETERNITY/ADAM QADMON,
10563,KISMET/J'RIDIA STARD,
10564,IN-BETWEENER,
10565,MR. FANTASTIC/REED R,
10566,ANGEL/WARREN KENNETH,
10567,DEATH,
10568,MASTER ORDER,
10569,JUBILEE/JUBILATION L,
10570,THING/BENJAMIN J. GR,
10571,INVISIBLE WOMAN/SUE,
10572,INFINITY II,
10573,PUNISHER II/FRANK CA,
10574,ANDROMEDA/ANDROMEDA,
10575,BEAST/HENRY &HANK& P,
10576,GHOST RIDER III/DAN,
10577,CYCLOPS/SCOTT SUMMER,
10578,",""CAPTAIN AMERICA",
10579,",""THUNDERSTRIKE/ERIC K",
10580,",""NOVA/RICHARD RIDER",
10581,",""WONDER MAN/SIMON WIL",
10582,",""DEATHLOK III/MICHAEL",
10583,",""OBLIVION",
10584,",""WOLVERINE/LOGAN",
10585,",""SHE-HULK/JENNIFER WA",
10586,",""VISION",
10587,",""PSYLOCKE/ELISABETH B",
10588,",""MARVEL GIRL/JEAN GRE",
10589,",""STORM/ORORO MUNROE S",
10590,",""ETERNITY/ADAM QADMON",
10591,",""KISMET/J'RIDIA STARD",
10592,",""NIGHT THRASHER/DUANE",
10593,",""IN-BETWEENER",
10594,",""MR. FANTASTIC/REED R",
10595,",""ANGEL/WARREN KENNETH",
10596,",""DEATH",
10597,",""MASTER ORDER",
10598,",""IRON MAN/TONY STARK",
10599,",""BLACK PANTHER/T'CHAL",
10600,",""JUBILEE/JUBILATION L",
10601,",""THING/BENJAMIN J. GR",
10602,",""INVISIBLE WOMAN/SUE",
10603,",""INFINITY II",
10604,",""PUNISHER II/FRANK CA",
10605,",""HULK/DR. ROBERT BRUC",
10606,",""ANDROMEDA/ANDROMEDA",
10607,",""BEAST/HENRY &HANK& P",
10608,LIVING LASER/ARTHUR,
10609,",""IRON MAN IV/JAMES R.",
10610,",""CABE, BETHANY",
10611,"CABE, BETHANY",
10612,SPYMASTER/JAKE JORDA,
10613,"HOGAN, VIRGINIA PEPP",
10614,"HOGAN, HAROLD J. HAP",
10615,",""HOGAN, VIRGINIA PEPP",
10616,BATROC/GEORGES BATRO,
10617,"CARTER, SHARON",
10618,",""STEELE, SIMON/WOLFGA",
10619,KARNILLA [ASGARDIAN],
10620,HEIMDALL [ASGARDIAN],
10621,ENCHANTRESS/AMORA/HE,
10622,LOKI [ASGARDIAN],
10623,NIGHTMARE/EDVARD HAB,
10624,ZANIAC/BRAD WOLFE,
10625,THOR/DR. DONALD BLAK,
10626,SONIC,
10627,CHAIN,
10628,SPIDER-WOMAN II/JULI,
10629,"CARPENTER, RACHEL",
10630,GRASP,
10631,"CLEMSON, MIKE",
10632,"COOPER, DR. VALERIE",
10633,"CARPENTER, LARRY",
10634,",""CHAIN",
10635,",""SPIDER-WOMAN II/JULI",
10636,",""CARPENTER, RACHEL",
10637,RED GUARDIAN III/DR.,
10638,DR. STRANGE/STEPHEN,
10639,DOLLAR BILL,
10640,HELLCAT/PATSY WALKER,
10641,NIGHTHAWK II/KYLE RI,
10642,DEVIL-SLAYER/ERIC SI,
10643,"NORRISS, SISTER BARB",
